split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
train,11,26,142.8800048828125,96.56999969482422,175.0,0,520.5999755859375,12.0,187.0,0,241.08987570251338
train,11,27,144.60000610351562,96.69000244140625,171.3300018310547,0,429.70001220703125,18.0,189.3300018310547,0,205.8692915844731
train,11,28,138.47000122070312,89.58999633789062,157.0,0,404.5,24.0,181.0,0,197.71961975097656
train,11,29,125.9800033569336,127.58000183105469,145.0,0,464.5,18.0,163.0,0,-7.431992912292481
train,11,30,130.74000549316406,88.38999938964844,140.3000030517578,0,430.29998779296875,0.0,140.3000030517578,0,182.23207109374925
train,11,31,154.77000427246094,93.0199966430664,165.66000366210938,0,223.1999969482422,12.0,177.66000366210938,0,137.8260151443479
train,11,32,175.16000366210938,115.76000213623047,187.10000610351562,0,243.89999389648438,6.0,193.10000610351562,0,144.8766000961303
train,11,33,190.74000549316406,101.33000183105469,199.0,1,43.900001525878906,0.0,199.0,1,-39.470492979583796
train,11,34,182.9600067138672,100.4000015258789,181.0399932861328,1,74.30000305175781,0.0,181.0399932861328,0,-61.3420863742067
train,11,35,171.8699951171875,110.98999786376953,175.0,1,56.5,-18.0,157.0,0,-34.39719844818115
train,11,36,161.6300048828125,174.25,160.0,1,52.29999923706055,-18.0,142.0,0,6.6002573500061406
train,11,37,125.30000305175781,94.5199966430664,119.0,0,30.299999237060547,18.0,137.0,0,9.326341707000683
train,11,38,115.30000305175781,86.36000061035156,121.62999725341797,0,83.80000305175781,-18.0,103.62999725341797,1,23.832722913818433
train,11,39,110.37999725341797,94.44999694824219,114.0,0,119.69999694824219,-30.0,84.0,1,18.46970989440917
train,11,40,108.12000274658203,110.54000091552734,110.18000030517578,0,209.5,18.0,128.18000030517578,0,-5.06989616394043
train,11,41,107.23999786376953,115.83000183105469,107.61000061035156,0,245.5,30.0,137.61000061035156,0,-21.08845973968506
train,11,42,105.0,99.29000091552734,107.0,0,287.8999938964844,30.0,137.0,0,16.43908701568609
train,11,43,105.30000305175781,104.01000213623047,108.5,0,302.5,-30.0,78.5,1,2.3897527694702148
train,11,44,107.7699966430664,104.41999816894531,110.1500015258789,0,418.5,0.0,110.1500015258789,0,14.019743614196777
train,11,45,111.69000244140625,99.91000366210938,112.5199966430664,0,344.20001220703125,-12.0,100.5199966430664,1,38.82575717529282
train,11,46,123.0999984741211,95.19000244140625,126.61000061035156,0,301.8999938964844,-18.0,108.61000061035156,1,82.75077634979273
train,11,47,159.0,100.3499984741211,157.89999389648438,0,508.20001220703125,-18.0,139.89999389648438,1,295.51831485290546
train,11,48,167.0,177.17999267578125,158.8800048828125,0,515.2000122070312,30.0,188.8800048828125,0,-52.44732350829989
train,11,49,160.44000244140625,143.3699951171875,153.19000244140625,0,476.3999938964844,24.0,177.19000244140625,0,81.32151385070756
train,11,50,156.00999450683594,148.2100067138672,142.8800048828125,0,454.0,12.0,154.8800048828125,1,33.141944580078125
train,11,51,152.5500030517578,103.19999694824219,144.60000610351562,0,446.6000061035156,0.0,144.60000610351562,1,218.16413023986854
train,11,52,143.0,171.8800048828125,138.47000122070312,0,436.0,6.0,144.47000122070312,0,-125.9168212890625
train,11,53,136.17999267578125,169.7100067138672,125.9800033569336,0,551.2999877929688,-18.0,107.9800033569336,1,-187.60746323791332
train,11,54,134.39999389648438,115.1500015258789,130.74000549316406,0,645.9000244140625,-24.0,106.74000549316406,1,121.10620529937557
train,11,55,144.0,113.19999694824219,154.77000427246094,0,530.7999877929688,18.0,172.77000427246094,0,163.48641243896446
train,11,56,161.49000549316406,115.27999877929688,175.16000366210938,0,524.9000244140625,12.0,187.16000366210938,0,242.5563365228288
train,11,57,165.0,97.62999725341797,190.74000549316406,0,503.70001220703125,30.0,220.74000549316406,0,339.342712058411
train,11,58,153.1300048828125,177.82000732421875,182.9600067138672,0,274.6000061035156,-24.0,158.9600067138672,0,-67.79874821105972
train,11,59,140.77999877929688,177.0,171.8699951171875,0,284.6000061035156,30.0,201.8699951171875,0,-103.08212568481453
train,11,60,133.47999572753906,183.5,161.6300048828125,0,432.5,-18.0,143.6300048828125,0,-216.33651847839357
train,11,61,119.0,174.42999267578125,125.30000305175781,0,631.9000244140625,-18.0,107.30000305175781,1,-353.4216373730451
train,11,62,125.0,128.97000122070312,115.30000305175781,0,429.20001220703125,30.0,145.3000030517578,0,-17.0392457238771
